key_type,old_rms,new_rms,mark43,com_key,comment
per_fio,,,,,
,seq_num,,,,
,fio_id,fc_num,fc_num,,
,location,streetaddr,street,,street
,street_id,,,,
,city,city,city,,
,,state,state,,
,,zip,zip,,
,dist,,,,
,dist_id,,,,
,fio_date,contact_date,contact_date,,
,fio_time,,,,
,,stop_duration,stop_duration,,
,fiofs_type,,,,"i=interogated, o=observed,f=frisked,s=searched"
,,frisked,,,
,,circumstances,circumstance,,"stopped,observered,encountered"
,terrorism,,,,y/n
,search,,,,"v=vehicle, p=persion"
,,searchpersons,,,
,,searchvehicles,,,
,basis,basis,basis,,"probable cause, reasonable suspicion,content search"
,stop_reasons,,,,
,,contact_reason,,,
,,summonsIssued,,,
,fiofs_reasons,,,,"obervation,frisk,search"
,outcome,,,,"s=seizure,f-fio,o=other"
,sup_entrydate,,,,
,last_updateby,,,,employee id of last person to update
,last_updatetime,,,,
,first_inserttime,,,,
,active_id,,,,flag if record is active always=1
,fio_date_corrected,,,,correction of fio date by BRIC
,,,key_situation,,
,,,narrative,,
,,,weather,,
per_sus,,,,,
,,,deceased,,
,sex,sex,sex,,
,priors,,,,
,,build,build,,
,,hair_style,hair_style,,
,description,,,,same as race_desc
,,otherclothing,otherclothing,,
,clothing,,,,
,complexion,complexion,skin_tone,,
,ethnicity,ethnicity,ethnicity,,
,race_id,,,,
,race_desc,race,race,,
,age_at_fio_corrected,age,age,,age corrected by BRIC
,,,frisk/search,,1=true
per_veh,,,license_state,,
,,,license_type,,
,veh_state,vehicle_state,vehicle_state,,
,veh_make,vehicle_make,,,
,veh_year_num,vehicle_year,vehicle_year,,
,veh_color,vehicle_color,vehicle_color,,
,veh_model,vehicle_model,vehicle_model,,
,,vehicle_style,vehicle_style,,car or pickup truck
,,vehicle_type,vehicle_type,,"sedan, compact,SUV,utility vehicle"
,veh_occupant,,,,passenger or driver
per_pol,,,,,
,enteredby,,,,
,supervisor_id,supervisor,supervisor,,id
,officer_id,contact_officer,contact_officer,,id
,supervisor,supervisor_name,supervisor_name,,
,off_dist_id,,,,
,off_dist,,,,
,officer,contact_officer_name,contact_officer_name,,
